String ID,Character,Act/Location,Context/Notes,Spanish (es-ES),English (en-US),Catalan (ca-CA),,Mis cambios o proposiciones
DL_DEEPROOT_ACT1_01,Deeproot,Act I – Warning,"Introducción general, la red está fallando",Siento un vacío... Las raíces se secan. La memoria de este jardín se desvanece gota a gota.,I feel an emptiness... The roots are drying. The memory of this garden fades drop by drop.,Sento un buit... Les arrels s'assequen. La memòria d'aquest jardí s'esvaeix gota a gota.,,
DL_DEEPROOT_ACT1_02,Deeproot,Act I – Warning,Explicación de la red y pérdida de conexión,"La red micorrícica, nuestro latido oculto, está perdiendo su fuerza. Ya no puedo escuchar las voces de los antiguos.","The mycorrhizal network, our hidden heartbeat, is losing its strength. I can no longer hear the voices of the elders.","La xarxa micorrícica, el nostre batec ocult, està perdent la força. Ja no puc escoltar les veus dels antics.",,
,,,,,,,,
DL_DEEPROOT_ACT1_03,Deeproot,Act I – Warning,Llamada a la acción al jugador,"Vosotros, caminantes... ¿Podéis ayudarme a restablecer los sentidos? Ayudadme a tejer de nuevo la memoria fragmentada.","You, wanderers... Can you help me get my bearings again? Help me weave the fragmented memory once more.","Vosaltres, caminants... Podeu ajudar-me a restablir els sentits? Ajudeu-me a teixir de nou la memòria fragmentada.",,
,,,,,,,,
DL_DEEPROOT_SIGHT_01,Deeproot,Garden of Sight,Introducción al jardín visual,"La red ve formas, pero no puede distinguir la permanencia del cambio. ¿Qué veis vosotros?","The network sees shapes, but cannot distinguish permanence from change. What do you see?","La xarxa veu maneres, però no pot distingir la permanència del canvi. Què veieu vosaltres?",,
,,,,,,,,
DL_DEEPROOT_SIGHT_02,Deeproot,Garden of Sight,Pista sobre siluetas y árboles,"Buscad en las siluetas, en la piel de las hojas. Ayudadme a recordar quiénes permanecen y quiénes cambian.","Search in the silhouettes, in the skin of the leaves. Help me remember who remains and who changes.","Busqueu a les siluetes, a la pell de les fulles. Ajudeu-me a recordar qui romanen i qui canvien.",,
DL_DEEPROOT_SIGHT_03,Deeproot,Garden of Sight Succes,Éxito en el jardín,La luz vuelve a brotar. Ahora podemos distinguir las siluetas en la niebla.,The light sprouts again. Now we can distinguish the silhouettes in the fog.,La llum torna a brollar. Ara podem distingir les siluetes a la boira.,,
DL_DEEPROOT_SOUND_01,Deeproot,Garden of Sound,Introducción al jardín sonoro,"La red escucha vibraciones, pero no puede nombrar su origen. El viento trae ecos de voces olvidadas.","The network hears vibrations, but cannot name their source. The wind brings echoes of forgotten voices.","La xarxa escolta vibracions, però no en pot anomenar l'origen. El vent porta ressons de veus oblidades.",,
