String ID,Character,Act/Location,Context/Notes,Spanish (es-ES),,English (en-US),,Catalan (ca-CA),
DL_DEEPROOT_ACT0_01,Deeproot,Reclaim,Si no estas en el Jardin te incita para que vayas al jardin,"Jóvenes aventureros, os hayáis demasiado lejos, para que me pueda comunicar correctamente con vosotros. Acercaos al Jardín de los sentidos, pues solo así podréis ayudarme.",25,"Young adventurers, you are too far away for me to communicate with you properly. Come closer to the Garden of the Senses, for only then can you help me.",29,"Joves aventurers, us hàgiu massa lluny, perquè em pugui comunicar correctament amb vosaltres. Apropeu-vos al Jardí dels sentits, doncs només així podreu ajudar-me.",23
DL_DEEPROOT_ACT1_01,Deeproot,Act I – Warning,"Introducción general, la red está fallando","Siento un vacío... Las raíces se secan. La memoria de este jardín se desvanece por momentos. Es un proceso lento, pero constante. ",22,I feel an emptiness... The roots are drying up. The memory of this garden is fading by the minute. It's a slow but steady process.,25,"Sento un buit... Les arrels s'assequen. La memòria d'aquest jardí s'esvaeix per moments. És un procés lent, però constant. ",19
DL_DEEPROOT_ACT1_02,Deeproot,Act I – Warning,,"Desaparece gota a gota y acaba con todo lo que este lugar significa... Cuando las micorrizas desaparezcan, los antiguos, como yo, no duraremos mucho más.",25,"It disappears drop by drop and ends with everything this place means... When the mycorrhizae disappear, the old ones, like me, won't last much longer.",25,"Desapareix gota a gota i acaba amb tot el que aquest lloc significa... Quan les micorizes desapareguin, els antics, com jo, no durarem gaire més.",25
DL_DEEPROOT_ACT1_03,Deeproot,Act I – Warning,Explicación de la red y pérdida de conexión,"La red micorrícica, nuestro latido oculto, está perdiendo su fuerza. Antaño nos ayudaba a transmitir nutrientes e información. Sin embargo, el paso humano la ha debilitado. Por lo que ha perdido su capacidades y con ellas la información.",38,"The mycorrhizal network, our hidden heartbeat, is losing its strength. It once helped us transmit nutrients and information. However, human activity has weakened it, causing it to lose its capacity and, consequently, the information it carries.",36,"La xarxa micorrícica, el nostre batec ocult, està perdent la força. Abans ens ajudava a transmetre nutrients i informació. Tot i això, el pas humà l'ha debilitat. Per això ha perdut les seves capacitats i amb elles la informació.",39
DL_DEEPROOT_ACT1_04,Deeproot,Act I – Warning,Llamada a la acción al jugador,"Vosotros, caminantes bienintencionados... Es vuestro deber ayudar al jardín. Ayudadme a tejer de nuevo la memoria fragmentada; ayudadme a restablecer la red micorrícica. ",23,"You, well-intentioned walkers... It is your duty to help the garden. Help me to weave back the fragmented memory; help me to restore the mycorrhizal network.",26,"Vosaltres, caminants benintencionats... És el vostre deure ajudar al jardí. Ajudeu-me a teixir de nou la memòria fragmentada; ajudeu-me a restablir la xarxa microrícica. ",24
DL_DEEPROOT_ACT1_05,Deeproot,Act I – Warning,,El futuro de millones de vidas recae sobre vosotros. Recorred el Jardín en busca de conflictos y adyudadme a solucionarlos.,20,The future of millions of lives rests on your shoulders. Search the Garden for conflicts and help me resolve them.,20,El futur de milions de vides recau sobre vosaltres. Recorreu el Jardí a la recerca de conflictes i adjudeu-me a solucionar-los.,21
DL_DEEPROOT_SIGHT_01,Deeproot,Garden of Sight,Introducción al jardín Vista,"Desde tiempos inmemoriales la red ha convertido estímulos en formas, y esas formas en información. Ahora el exceso de estímulos dejados por los humanos hace que no pueda distinguir la permanencia y el cambio.",34,"Since time immemorial, the internet has transformed stimuli into forms, and those forms into information. Now, the excess of stimuli left by humans makes it impossible to distinguish between permanence and change.",32,Des de temps immemorials la xarxa ha convertit estímuls en formes i aquestes formes en informació. Ara l´excés d´estímuls deixats pels humans fa que no pugui distingir la permanència i el canvi.,32
DL_DEEPROOT_SIGHT_03,Deeproot,Garden of Sight Succes,Éxito en el jardín Vista,La luz vuelve a brotar. Ahora podemos distinguir las siluetas en la superficie.,13,The light returns. Now we can make out the silhouettes on the surface.,13,La llum torna a brollar. Ara podem distingir les siluetes a la superfície.,13
DL_DEEPROOT_SOUND_01,Deeproot,Garden of Sound,Introducción al jardín Oido,"La red micorrícica siempre ha captado musica. Mas ahora la red ha olvidado el origen de estas vibraciones. El viento trae ecos de voces olvidadas. Voces que, tal vez, vosotros sí distingáis...",32,"The mycorrhizal network has always captured music. But now the network has forgotten the origin of these vibrations. The wind carries echoes of forgotten voices. Voices that, perhaps, you can distinguish...",31,"La xarxa micorrícica sempre ha captat música. Però ara la xarxa ha oblidat l'origen d'aquestes vibracions. El vent porta ressons de veus oblidades. Veus que, potser, vosaltres sí que distingiu...",30
DL_DEEPROOT_SOUND_02,Deeproot,Garden of Sound,Pista sobre identificar sonidos,"Escuchad con atención. El trino de los habitantes del cielo, el murmullo del agua... Devolvedles su nombre.",17,"Listen carefully. The trill of the inhabitants of the sky, the murmur of the water... Give them back their name.",20,"Escolteu amb atenció. El trino dels habitants del cel, el murmuri de l'aigua... Torneu-los el nom.",16
DL_DEEPROOT_SOUND_03,Deeproot,Garden of Sound Succes,Éxito en el jardín Oido,La armonía regresa. Las vibraciones vuelven a ser canciones con significado.,11,Harmony returns. Vibrations become songs with meaning once more.,9,L'harmonia torna. Les vibracions tornen a ser cançons amb significat.,10
DL_DEEPROOT_TOUCH_01,Deeproot,Garden of Touch,Introducción al jardín Tacto,"Tiempo atrás las raíces abrazaban la superficie y extendía sus sentidos más allá de estas. Sentían cada paso, su calidez, su propio crecimiento... ",23,"Long ago, the roots embraced the surface and extended their senses beyond it. They felt every step, its warmth, their own growth...",22,"Temps enrere les arrels abraçaven la superfície i estenia els seus sentits més enllà. Sentien cada pas, la seva calidesa, el seu propi creixement... ",24
DL_DEEPROOT_TOUCH_02,Deeproot,Garden of Touch,,"Ahora esa sensación se ha apagado. Todo es frío y distante. Ayudad, ya no a recordar, sino a que puedan sentir de nuevo.",23,"Now that feeling has faded. Everything is cold and distant. Help them, not to remember, but to feel again.",19,"Ara aquesta sensació s?ha apagat. Tot és fred i distant. Ajudeu, ja no a recordar, sinó que puguin tornar a sentir.",21
DL_DEEPROOT_TOUCH_03,Deeproot,Garden of Touch,Pista sobre cortezas y texturas,"Tocad la corteza, sentid la textura de la vida. Descubrid lo que la superficie esconde.",15,"Touch the bark, feel the texture of life. Discover what the surface hides.",13,"Toqueu l'escorça, sentiu la textura de la vida. Descobriu el que la superfície amaga.",14
DL_DEEPROOT_TOUCH_04,Deeproot,Garden of Touch Succes,Éxito en el jardín Tacto,La firmeza vuelve a las raices. Volvemos a sentir la red subterranea que nos soporta.,15,Strength returns to the roots. We feel once again the underground network that supports us.,15,La fermesa torna a les arrels. Tornem a sentir la xarxa subterrània que ens suporta.,15
DL_DEEPROOT_TASTE_01,Deeproot,Garden of Taste,Introducción al jardín Gusto,El enlace vital de frutos y semillas se está perdiendo. La red ha dejado de reconocer el sabor de estos. Por lo que la red ya no sabe si debe cogerlos o no.,33,"The vital link between fruits and seeds is being lost. The network has stopped recognizing their flavor. Therefore, the network no longer knows whether to harvest them or not.",29,Lenllaç vital de fruits i llavors sestà perdent. La xarxa ha deixat de reconèixer-ne el sabor. Per això la xarxa ja no sap si els ha d'agafar o no.,29
DL_DEEPROOT_TASTE_02,Deeproot,Garden of Taste,Pista sobre frutos y estaciones,Encontrad el origen de la dulzura. Unid el fruto con su rama a través de las estaciones.,17,Find the source of sweetness. Unite the fruit with its branch through the seasons.,14,Trobeu l'origen de la dolçor. Uniu el fruit amb la seva branca a través de les estacions.,17
DL_DEEPROOT_TASTE_03,Deeproot,Garden of Taste Succes,Éxito en el jardín Gusto,"El ciclo está completo. La semilla, el árbol y el fruto vuelven a ser uno.",15,"The cycle is complete. The seed, the tree, and the fruit are one again.",14,"El cicle és complet. La llavor, l'arbre i el fruit tornen a ser-ne un.",14
DL_DEEPROOT_SMELL_01,Deeproot,Garden of Smell,Introducción al jardín Olfato,¿Notáis la fragancia? Que seáis capaces de notarla no es azar. La comunidad de este jardín usaba los aromas para cumplir propósitos.,22,Can you smell the fragrance? Your ability to smell it is not by chance. The community of this garden used aromas to achieve specific purposes.,25,Noteu la fragància? Que sigueu capaços de notar-la no és atzar. La comunitat d'aquest jardí feia servir les aromes per complir propòsits.,22
DL_DEEPROOT_SMELL_02,Deeproot,Garden of Smell,,"La red aún recuerda esos aromas, pero ya no su función. Los aromas flotan sin rumbo, sin nadie que los reciba.",21,"The network still remembers those scents, but no longer their purpose. The scents float aimlessly, with no one to receive them.",21,"La xarxa encara recorda aquestes aromes, però ja no la seva funció. Les aromes suren sense rumb, sense ningú que els rebi.",22
